Date,Close,High,Low,Open,Volume
03-03-2014,0.433210969,0.433210969,0.421841851,0.425631566,375948000
04-03-2014,0.437711298,0.440553571,0.434632158,0.435342733,260344000
05-03-2014,0.441501021,0.441737889,0.435342768,0.437237598,241472000
06-03-2014,0.435342729,0.444580122,0.434632154,0.442211557,290144000
07-03-2014,0.434868962,0.437948102,0.431552982,0.437237527,268452000
10-03-2014,0.42847389,0.435342746,0.426579032,0.433447888,300888000
11-03-2014,0.432737231,0.436526946,0.429184384,0.430605506,297220000
12-03-2014,0.433921546,0.436526979,0.428947548,0.430605538,239428000
13-03-2014,0.420183837,0.436526953,0.418052112,0.434868935,385172000
14-03-2014,0.422078729,0.425868444,0.415920476,0.415920476,460048000
17-03-2014,0.422078729,0.426342152,0.421605021,0.423263011,299656000
18-03-2014,0.432026774,0.434869047,0.421841936,0.423736794,293904000
19-03-2014,0.43960613,0.447896137,0.434158424,0.435342735,366168000
20-03-2014,0.43984291,0.443632625,0.435342648,0.437237477,191800000
21-03-2014,0.439132422,0.447185561,0.436763857,0.443632713,566116000
24-03-2014,0.437000573,0.442921984,0.430605426,0.439369137,306096000
25-03-2014,0.437000573,0.442211409,0.433684565,0.441737702,304424000
26-03-2014,0.427052647,0.449317174,0.423262932,0.441027197,557756000
27-03-2014,0.421368241,0.429658221,0.416631082,0.426105373,540728000
28-03-2014,0.423973501,0.426578933,0.419473239,0.420657521,398820000
31-03-2014,0.424210429,0.428473852,0.421841864,0.424684137,273404000
01-04-2014,0.441737771,0.446948608,0.432500351,0.437711216,656272000
02-04-2014,0.438895464,0.44268515,0.437000607,0.441737736,239948000
03-04-2014,0.443632782,0.454291327,0.439606197,0.439843065,599548000
04-04-2014,0.429895043,0.448606727,0.428000185,0.446001294,368032000
07-04-2014,0.431316108,0.439606085,0.42776326,0.430131825,428576000
08-04-2014,0.446711898,0.447896181,0.430605618,0.431316194,470692000
09-04-2014,0.446238071,0.452633219,0.442685223,0.448843504,421968000
10-04-2014,0.435342729,0.450501536,0.433921579,0.444343283,372748000
11-04-2014,0.429184437,0.438658698,0.423499863,0.432026709,353112000
14-04-2014,0.433921546,0.435579536,0.429184416,0.432026688,290184000
15-04-2014,0.437000573,0.439369137,0.430131719,0.43439514,304636000
16-04-2014,0.437948167,0.439606158,0.432500461,0.43913245,235136000
17-04-2014,0.43960613,0.443632714,0.435342735,0.43629015,153532000
21-04-2014,0.443158984,0.444343267,0.437000703,0.439842976,117004000
22-04-2014,0.446948647,0.449790948,0.441500942,0.443869507,255120000
23-04-2014,0.452159494,0.453343777,0.446948629,0.447659204,261580000
24-04-2014,0.456186146,0.460923276,0.455238731,0.455238731,391492000
25-04-2014,0.443632782,0.459502194,0.442685338,0.45523877,313600000
28-04-2014,0.441737771,0.449554041,0.436290066,0.447185476,226788000
29-04-2014,0.442685306,0.444343325,0.437711335,0.443395881,171300000
30-04-2014,0.437474459,0.442448458,0.436527045,0.441974751,305740000
01-05-2014,0.43984291,0.445053747,0.436290062,0.444106332,198104000
02-05-2014,0.436526954,0.441974659,0.433921521,0.441974659,156376000
05-05-2014,0.441264123,0.444580103,0.435579549,0.436053257,239260000
06-05-2014,0.432263494,0.449317154,0.431079211,0.445527468,416188000
07-05-2014,0.432737231,0.436290079,0.428000101,0.432263524,293900000
08-05-2014,0.438184947,0.445053774,0.428947526,0.431079252,432728000
09-05-2014,0.427526444,0.428947595,0.419473333,0.424921039,539532000
12-05-2014,0.440079898,0.441027313,0.428237042,0.42847391,299856000
13-05-2014,0.4329741,0.441264106,0.431552978,0.434158383,221104000
14-05-2014,0.428710699,0.43486898,0.42847386,0.43321099,214320000
15-05-2014,0.4263421,0.430131815,0.422078677,0.42776325,325896000
16-05-2014,0.425394744,0.428473884,0.423026178,0.423026178,283960000
19-05-2014,0.439132422,0.441500988,0.428000171,0.429895029,360076000
20-05-2014,0.434016556,0.440441131,0.43187504,0.439251394,256200000
21-05-2014,0.434016556,0.439489352,0.431399122,0.435682182,216712000
22-05-2014,0.435920179,0.438299654,0.433064815,0.433064815,130364000
23-05-2014,0.439965189,0.442106732,0.435682129,0.438299562,182656000
27-05-2014,0.447817534,0.447817534,0.441155,0.442582696,209680000
28-05-2014,0.451624602,0.454479965,0.445200028,0.449483087,224676000
29-05-2014,0.450910896,0.455193956,0.449959117,0.451386785,171884000
30-05-2014,0.452100515,0.453290252,0.448531304,0.450910778,239128000
02-06-2014,0.450672835,0.456383562,0.446865665,0.453528198,181500000
